"Interval start","All Packets"
0,146544
1,144632
2,142584
3,146064
4,144632
5,144632
6,143200
7,146064
8,145064
9,144632
10,143200
11,144632
12,144632
13,144632
14,146064
15,143200
16,146064
17,143200
18,146064
19,143200
20,144632
21,146064
22,144632
23,143200
24,146064
25,143200
26,146064
27,143200
28,144632
29,144632
30,103184
