"Interval start","All Packets"
0,360488
1,351984
2,346416
3,394688
4,332968
5,344352
6,344400
7,349128
8,352960
9,369056
10,368952
11,353768
12,370280
13,364864
14,363200
15,383216
16,344848
17,362504
18,364936
19,394720
20,381728
21,387848
22,367232
23,381488
24,400288
25,364232
26,379912
27,378936
28,355536
29,371528
30,271368
