"Interval start","All Packets"
0,103
1,101
2,101
3,102
4,101
5,101
6,100
7,102
8,102
9,101
10,100
11,101
12,101
13,101
14,102
15,100
16,102
17,100
18,102
19,100
20,101
21,102
22,101
23,100
24,102
25,100
26,102
27,100
28,101
29,101
30,72
