"Interval start","Filtered packets"
0,136712
1,136024
2,135568
3,148528
4,136456
5,130992
6,151984
7,136712
8,136000
9,135160
10,136000
11,136024
12,142480
13,155872
14,136888
15,135568
16,136456
17,135568
18,136000
19,136024
20,135568
21,145960
22,157600
23,153432
24,138032
25,154144
26,151576
27,157600
28,157600
29,136888
30,127840
31,139024
