"Interval start","All Packets"
0,118960
1,118960
2,118960
3,118960
4,118960
5,118960
6,118960
7,118960
8,118960
9,118960
10,121848
11,118960
12,118960
13,118960
14,118960
15,118960
16,118960
17,118960
18,118960
19,118960
20,118960
21,118960
22,118960
23,118960
24,118960
25,118960
26,118960
27,118960
28,119648
29,118960
30,113880
